reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c1b3bd68-7860-4e48-a976-4069640aaee8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya kurang mengerti dan memahami bagaimana penggunaan aplikasi ini...sering dapat telp mengatasnamakan Ditjen pajak...dengan berbagai alasan masalah bla-bla-bla...🙏,2,0,2.0.4,2025-05-24 10:57:06,,,2.0.4
f80a8ab4-c603-41d2-ba03-9167ab138325,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ribet,1,0,,2025-05-24 03:34:12,,,
e10a762d-72b1-4e8e-bf09-f1b911580e38,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gak guna !!!,1,0,,2025-05-23 14:53:21,,,
c5c7e2b2-8f1f-45ab-bda4-f2653d27b150,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sa kesal sekali, buat NPWP jadi susah semenjak jadi cortax. verif 2 hari 2 malam. bodoh sekali",1,0,2.0.4,2025-05-23 09:32:33,,,2.0.4
71a19d54-915a-4b9c-a700-668c7a7690f5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"jangan nerima duit setoran pajak aja, perbaiki system web/aplikasinya. jaman digital masih lemot aja. verifikasi data sampai numpuk code otp. alhasil tidak bisa di masukkan.",1,0,,2025-05-23 06:09:09,,,
42bd8ec2-0056-4a3d-8b19-3ae8fcb87d87,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aneh kita yang bayar pajak kita yang laporan. dan mau laporan pun sulit dapat datanya.,1,0,,2025-05-23 04:47:49,,,
59dba617-172a-4ee4-98cb-138826074a66,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,masuk ke dalam app saja nggak bisa. hanya halaman depannya saja yang terbuka,1,0,,2025-05-23 04:41:47,,,
4f6111de-6130-43d9-92a3-ae24ca8b62fd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi kont (sangat bagus),1,0,2.0.4,2025-05-22 01:19:26,,,2.0.4
4a3e4977-bad1-453f-a2cb-6067f9646440,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gk berfungsi apk kelas negeri ini,1,0,2.0.4,2025-05-21 13:55:38,,,2.0.4
8ed5a54d-0045-44cf-8dd2-98ef37b90eff,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi lambat minta kode verifikasi ga masuk"" ke email. ga jelas",1,0,2.0.4,2025-05-21 05:41:04,,,2.0.4
5fce3374-7af8-409c-a2c2-ac1ba8aac78a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good job! :),5,0,2.0.4,2025-05-21 05:23:43,,,2.0.4
06476746-c53a-49d0-a619-afa93d5184d1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Fix dong, kaga bisa login terus udah sebulan an, saya rating tinggi biar kebaca ama si admin ini",5,0,2.0.4,2025-05-20 13:33:37,,,2.0.4
bb4bf569-9550-4662-85d3-5cad79446c88,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,RIBET BGT TOT.,1,0,,2025-05-20 08:06:54,,,
482cd45d-68e4-4a5d-a636-d30417ec7ed5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pelayanan buruk banget.mudah di bikin ribet.whatsapp tidak ada fungsi nya.hanya tampilan saja ,keluhan di bikin sulit.",1,0,2.0.4,2025-05-19 12:50:17,,,2.0.4
694c634c-9fe3-42ea-be9c-e4f883a9f077,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"di web dan apk pun sama, masa ganti no hp kudu ke kpp terdekat... tidak seperti dahulu",1,0,,2025-05-19 10:22:13,,,
0a9c6102-bc9d-4267-a438-1cfb134e0015,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,cuma mau ngasih tau ini aplikasi nya bukan aplikasi resmi hati-hati karna bisa retas hp kalian,1,0,,2025-05-19 09:59:42,,,
